Name,Industry
Azul,Courier & transportation
Azure Power,Electricity
AZZ,Others
B Communications,Media & telecommunication
B&amp;G Foods,Others
B. Riley Financial,Banks & Finance
B2Gold,"Oil, Gas & Mining"
B3,Banks & Finance
Bâloise,Banks & Finance
BİM Birleşik Mağazalar,Retail
Babcock &amp; Wilcox,Electricity
Babylon Holdings,Pharma & Healthcare
Babylon Holdings,Tech & Software
Babylon Holdings,Tech & Software
Bachoco,Food
Backblaze,Tech & Software
Backblaze,Tech & Software
Badger Infrastructure Solutions,Others
Badger Meter,Others
BAE Systems,Manufacturing
BAE Systems,Manufacturing
Bafang Yunji,Food
Bafang Yunji,Food
Baidu,Tech & Software
Bajaj Auto,Manufacturing
Bajaj Electricals,Others
Bajaj Finance,Banks & Finance
Bajaj Finserv,Banks & Finance
Bajaj Holdings &amp; Investment,Others
Baker Hughes,"Oil, Gas & Mining"
Bakhu Holdings,Others
Bakkafrost,Food
Bakkt Holdings,Banks & Finance
Bakkt Holdings,Tech & Software
Bakkt Holdings,Tech & Software
Balaji Telefilms,Entertainment
Balchem,Others
Balkrishna Industries,Manufacturing
Ball Corporation,Manufacturing
Ballard Power Systems,Others
Bally's Corporation,Entertainment
Banc of California,Banks & Finance
Banc of California,Banks & Finance
Banca Mediolanum,Banks & Finance
Banca Mediolanum,Banks & Finance
BancFirst,Banks & Finance
BancFirst,Banks & Finance
Banco Bilbao Vizcaya Argentaria,Banks & Finance
Banco Bilbao Vizcaya Argentaria,Banks & Finance
Banco Bradesco,Banks & Finance
Banco Bradesco,Banks & Finance
Banco de Brasília,Banks & Finance
Banco de Brasília,Banks & Finance
Banco de Chile,Banks & Finance
Banco de Chile,Banks & Finance
Banco de Crédito e Inversiones,Banks & Finance
Banco de Crédito e Inversiones,Banks & Finance
Banco do Brasil,Banks & Finance
Banco do Brasil,Banks & Finance
Banco Inter,Banks & Finance
Banco Inter,Banks & Finance
Banco Latinoamericano de Comercio Exterior,Banks & Finance
Banco Latinoamericano de Comercio Exterior,Banks & Finance
Banco Macro,Others
Banco Popular,Banks & Finance
Banco Sabadell,Banks & Finance
Banco Sabadell,Banks & Finance
Banco Santander Brasil,Banks & Finance
Banco Santander Brasil,Banks & Finance
Banco Santander México,Banks & Finance
Banco Santander México,Banks & Finance
Banco Santander-Chile,Banks & Finance
Banco Santander-Chile,Banks & Finance
Bancolombia,Banks & Finance
Bancolombia,Banks & Finance
Bandai Namco,Tech & Software
Bandai Namco,Entertainment
Bandhan Bank,Banks & Finance
Bandhan Bank,Banks & Finance
Bandwidth,Media & telecommunication
Bangkok Airways,Courier & transportation
Bangkok Airways,Courier & transportation
